"Story","Title","Result","Date","Stability","Duration (s)"
"Prueba automatización","Como usuario quiero eliminar un registro de la tabla web","SUCCESS","2021-09-07T15:56:52.239-05:00[America/Bogota]","0.0","13.18"
"Prueba automatización","Como usuario quiero agregar registros en la tabla web","SUCCESS","2021-09-07T20:58:42.341-05:00[America/Bogota]","0.0","57.14"
